Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,151770,7000,0,144770,0,4.61,0.0,0.0,38928341,3899.0,149810,1960,1.31
Albania,135947,2464,0,133483,397,1.81,0.0,0.0,2877800,47240.0,133912,2035,1.52
Algeria,187258,4794,0,182464,603,2.56,0.0,0.0,43851043,4270.0,181376,5882,3.24
Andorra,14924,129,0,14795,0,0.86,0.0,0.0,77265,193153.0,14836,88,0.59
Angola,44617,1100,0,43517,83,2.47,0.0,0.0,32866268,1358.0,43662,955,2.19
Antigua and Barbuda,1397,43,0,1354,19,3.08,0.0,0.0,97928,14266.0,1338,59,4.41
Argentina,5084635,109041,0,4975594,3727,2.14,0.0,0.0,45195777,112502.0,5018895,65740,1.31
Armenia,234558,4695,0,229863,331,2.0,0.0,0.0,2963234,79156.0,232157,2401,1.03
Australia,39615,966,0,38649,518,2.44,0.0,0.0,50919400,778.0,36630,2985,8.15
Austria,668732,10756,0,657976,891,1.61,0.0,0.0,9006400,74251.0,663082,5650,0.85
Azerbaijan,368002,5153,0,362849,2993,1.4,0.0,0.0,10139175,36295.0,351825,16177,4.6
Bahamas,16141,311,0,15830,0,1.93,0.0,0.0,393248,41045.0,15537,604,3.89
Bahrain,270919,1384,0,269535,103,0.51,0.0,0.0,1701583,159216.0,270060,859,0.32
Bangladesh,1418902,24175,0,1394727,6684,1.7,0.0,0.0,164689383,8616.0,1353695,65207,4.82
Barbados,4525,48,0,4477,0,1.06,0.0,0.0,287371,15746.0,4471,54,1.21
Belarus,461303,3604,0,457699,1305,0.78,0.0,0.0,9449321,48819.0,453932,7371,1.62
Belgium,1149869,25287,0,1124582,0,2.2,0.0,0.0,23021022,49949.0,1136726,13143,1.16
Belize,14847,344,0,14503,0,2.32,0.0,0.0,397621,37340.0,14438,409,2.83
